p_id,age,female,ethnicity,grip,chest,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
PLH150,19,1,2,16,8,3,4,2,4,3,3,3,3,3,4,3,3,2,4,3,2
PLH151,18,1,6,28,30,2,4,2,3,3,2,5,3,2,2,2,4,2,4,5,5
PLH152,19,1,5,18,16,2,5,4,5,4,1,2,4,2,2,2,4,1,5,2,1
PLH153,19,0,5,46,36,1,4,2,2,4,4,4,4,2,3,1,4,3,4,5,4
PLH155,20,1,1,19,20,5,4,3,5,4,3,4,5,2,1,2,4,5,5,4,3
PLH156,18,1,5,28,18,3,4,4,3,2,3,4,4,4,4,4,2,3,3,2,2
PLH157,19,0,5,42,46,2,3,4,3,4,3,4,4,3,4,4,3,4,3,1,3
PLH160,19,1,4,25,28,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4
PLH161,19,1,5,15,15,4,5,3,4,4,1,4,4,3,1,4,4,4,5,4,2
PLH162,19,0,5,32,36,1,2,3,2,4,3,5,3,2,5,2,4,3,4,4,4
PLH163,19,1,5,18,9,2,3,3,3,4,3,3,3,3,3,5,3,3,4,4,3
PLH164,20,1,5,20,14,4,4,3,3,2,2,4,3,4,4,3,4,1,4,3,2
PLH165,19,0,5,30,50,3,1,1,1,5,4,4,4,1,5,3,5,4,4,4,1
PLH166,20,1,5,10,8,3,5,3,1,1,1,3,3,3,1,3,4,5,4,4,2
PLH167,19,1,5,15,20,2,5,4,4,1,1,2,5,5,2,4,4,2,5,1,3
PLH168,20,1,5,12,9,3,1,3,5,3,1,3,3,3,3,1,3,3,5,5,1
PLH169,21,0,5,35,17,4,4,3,3,3,3,5,2,2,4,2,3,4,4,5,4
PLH170,19,0,5,34,38,2,4,3,3,3,4,4,5,2,1,3,4,3,4,3,3
PLH171,19,0,6,44,32,4,4,2,3,3,2,4,2,3,2,4,4,2,4,5,5
PLH172,22,0,2,38,34,4,5,2,1,3,2,5,2,5,2,5,4,4,5,5,4
PLH173,18,0,5,23,11,2,4,2,2,4,2,4,2,2,4,2,4,4,4,4,4
PLH174,18,0,5,42,64,2,4,4,3,4,4,3,4,2,3,5,4,4,5,2,2
PLH175,19,0,5,30,42,4,3,4,2,4,4,3,4,1,4,4,4,3,4,4,3
PLH176,19,1,5,22,19,2,4,4,4,4,2,4,4,2,2,4,4,4,4,2,2
PLH177,19,0,5,38,38,2,4,3,3,4,2,4,3,2,4,3,4,3,4,2,3
PLH178,19,1,1,15,20,2,5,2,4,2,1,4,4,5,2,2,5,1,5,4,1
PLH179,21,1,5,22,21,4,4,2,2,3,4,4,3,2,5,2,4,4,4,4,4
PLH180,19,0,7,43,50,2,3,2,2,4,5,4,3,2,5,3,3,3,3,4,3
PLH181,19,1,6,12,5,5,5,5,5,5,1,3,5,4,2,3,5,2,5,5,1
PLH182,19,1,5,22,10,1,5,3,3,3,1,3,3,3,5,3,3,3,5,3,3
PLH183,19,0,5,44,44,2,3,3,2,3,4,4,3,2,4,3,2,3,4,4,4
PLH184,18,1,5,12,16,1,4,4,4,1,2,2,2,4,5,4,4,2,5,2,1
PLH185,18,1,5,20,20,3,4,4,2,1,1,1,3,4,3,5,1,3,5,1,1
PLH186,18,1,5,29,24,4,4,4,4,1,2,2,4,2,4,4,1,1,4,2,1
PLH187,20,1,5,20,9,1,4,4,1,1,2,4,2,1,1,4,2,4,5,2,2
PLH188,19,1,5,12,14,5,5,5,4,2,1,3,5,5,1,4,5,1,5,2,2
PLH190,20,0,4,35,8,5,5,1,4,3,4,5,4,5,4,1,4,2,5,5,2
PLH191,18,0,5,38,35,4,4,1,4,4,1,2,5,4,5,2,2,3,5,5,2
PLH193,19,0,4,36,44,2,4,2,2,4,4,4,3,2,5,4,3,4,4,4,3
PLH194,19,0,5,30,34,2,5,2,2,4,1,4,3,2,1,4,5,3,5,5,2
PLH195,18,0,2,50,50,3,4,3,1,3,2,5,4,2,5,2,2,4,4,4,2
PLH196,18,1,6,25,16,3,3,3,3,4,3,3,2,2,3,3,3,3,2,3,4
PLH197,19,0,1,34,38,2,3,3,3,4,3,3,4,2,5,3,4,4,4,2,2
PLH198,18,0,8,30,12,4,4,2,3,2,2,2,3,2,4,1,2,4,5,4,4
PLH199,19,1,5,17,17,2,2,3,2,3,3,4,2,2,2,3,3,3,3,4,3
PLH200,19,0,5,34,24,1,1,1,1,5,5,4,1,1,5,2,3,1,4,2,4
PLH201,19,1,5,27,18,4,2,4,3,5,4,4,4,4,5,5,4,4,4,4,3
PLH202,23,0,5,40,42,1,3,2,1,5,4,5,3,2,5,3,5,4,5,5,3
PLH203,19,1,5,22,3,4,5,5,5,1,1,2,5,3,5,5,4,1,5,1,1
PLH204,19,1,5,18,14,2,2,2,4,4,4,4,5,1,5,2,4,3,3,2,1
PLH205,19,1,5,50,54,1,1,1,2,4,3,5,3,1,5,3,4,5,5,2,3
PLH206,19,1,5,14,12,2,4,4,2,4,2,2,4,1,2,4,4,3,5,2,1
PLH207,19,1,5,10.1,20,4,4,4,4,2,5,1,4,3,2,5,4,2,3,1,2
PLH208,19,1,1,26,29,5,5,5,5,4,1,1,4,5,1,5,5,1,5,1,1
PLH209,19,0,1,39,16,1,3,2,1,5,5,5,1,1,4,4,2,1,4,3,3
PLH210,18,0,5,34,32,4,4,4,2,2,1,3,4,4,2,4,4,2,4,5,2
PLH211,19,0,5,36,36,5,4,4,1,4,2,2,3,2,2,4,5,4,4,2,3
PLH212,20,0,5,46,18,2,5,4,4,5,1,2,4,4,1,4,4,2,4,4,4
PLH213,19,0,5,50,32,4,4,4,5,2,2,4,4,2,2,4,2,2,5,2,2
PLH215,21,0,8,29,34,2,2,4,4,4,3,2,4,3,3,3,4,2,4,3,1
PLH216,20,0,5,38,46,2,3,2,4,2,4,4,3,4,4,4,3,3,3,3,3
PLH217,21,0,5,44,22,5,5,2,3,1,1,5,2,5,1,4,5,3,4,3,4
PLH218,19,1,1,15,12,5,4,4,4,1,3,2,4,4,2,4,4,1,4,2,2
PLH219,19,0,5,44,54,2,2,2,1,4,5,4,3,1,4,4,4,4,3,4,4
PLH220,19,1,4,21,15,4,4,4,5,4,2,1,4,3,3,4,5,4,4,2,2
PLH221,18,1,5,12,7,2,2,4,4,3,5,2,4,4,5,5,5,4,4,2,1
PLH222,23,0,4,58,42,3,1,3,3,3,5,5,3,2,3,3,4,3,4,3,2
PLH223,18,1,5,14,14,4,2,1,4,5,4,5,2,2,4,2,5,4,4,5,2
PLH224,20,0,5,46,46,5,5,5,4,4,1,5,5,1,5,3,5,5,4,4,2
PLH228,19,1,5,13,12,4,4,4,4,2,2,4,4,4,2,4,4,2,4,2,2
PLH229,20,1,5,17,5,4,5,3,4,1,1,3,4,4,2,5,5,3,5,2,1
PLH230,18,1,5,18.5,19,2,4,1,5,4,3,4,4,3,1,2,4,3,4,5,2
PLH231,18,1,5,19,11,5,5,4,5,1,2,2,5,5,4,4,5,2,5,1,1
PLH232,18,0,5,34,26,1,2,3,1,4,5,3,2,2,2,2,5,4,5,5,4
PLH233,22,1,5,15,19,1,4,2,2,4,3,3,3,3,3,3,4,2,5,2,2
PLH234,18,1,6,17,10,4,4,4,2,2,2,2,3,4,2,4,4,2,4,2,3
PLH235,18,0,5,36,30,2,5,2,4,4,2,4,2,2,4,2,4,4,4,4,5
PLH236,21,0,1,50,54,2,4,4,3,4,4,2,2,2,3,4,5,2,4,4,4
PLH237,18,1,5,17,10,4,4,2,2,2,2,3,2,3,2,4,4,2,4,2,2
