p_id,female,age,grip,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
110,1,22,26.14,4,5,4,3,4,4,5,4,5,4,3,5,4,5,4,4
111,0,19,39.09,2,4,2,5,3,2,1,5,2,2,1,NA,2,4,1,2
112,0,19,37.41,2,4,4,3,2,4,2,5,2,4,4,4,2,4,2,3
113,0,19,31.11,4,4,4,2,4,3,3,2,3,3,4,5,4,4,2,3
114,1,NA,35.82,5,5,4,4,4,4,4,4,4,4,4,5,4,5,4,5
115,1,19,22.73,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4
116,0,18,26.45,2,4,4,5,2,4,2,5,4,4,5,5,4,5,4,4
117,1,19,16.59,4,4,4,4,4,3,4,4,4,4,3,4,5,4,3,5
118,0,28,36.36,1,5,3,5,1,4,3,5,2,5,3,5,2,4,1,5
119,1,18,25.45,3,5,2,4,2,4,2,4,2,5,2,4,2,5,3,3
120,1,19,17.05,4,4,2,4,4,4,2,4,3,2,4,5,2,3,4,4
121,1,20,28.09,4,4,4,4,4,4,4,2,4,2,4,2,4,4,4,4
122,1,18,18.86,4,5,5,4,3,4,2,5,4,4,5,5,4,4,4,1
123,1,18,23.59,4,5,4,5,3,4,3,4,4,3,4,4,5,5,3,5
124,1,19,26.45,NA,4,5,5,4,4,4,4,2,4,5,5,4,5,5,4
125,1,19,13.18,4,4,3,1,5,4,4,3,4,4,2,4,4,5,2,4
126,1,19,11.89,5,5,5,4,4,4,5,4,5,4,5,5,4,5,4,5
127,1,19,19.73,2,5,3,4,5,2,4,3,4,4,2,4,4,5,2,4
128,1,18,22.45,3,4,4,3,3,4,3,5,4,3,4,3,1,3,3,3
129,1,20,13.82,5,4,5,3,4,4,3,3,4,4,4,5,3,5,3,4
130,0,18,38.05,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3
131,0,19,31.55,4,4,5,5,2,5,5,5,2,2,5,5,3,5,5,5
132,1,19,17.64,5,5,5,1,4,5,2,4,4,4,3,5,2,4,4,3
133,1,19,21.64,4,2,3,1,3,1,2,3,3,1,3,2,3,3,1,2
