p_id,age,female,ethnicity,grip,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
488,19,0,1,27.41,5,1,5,3,1,1,2,2,3,1,5,5,1,5,2,1
489,18,1,1,28.36,4,4,4,4,2,2,3,3,4,2,4,4,2,4,2,2
490,18,0,7,53.5,4,5,4,4,3,4,4,5,4,2,4,4,2,4,1,2
491,19,1,1,28.1,4,4,4,3,2,2,3,4,4,2,4,4,4,5,2,3
492,18,0,7,40.39,2,3,2,1,4,4,4,3,2,3,3,4,3,5,4,4
493,21,1,7,25.18,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4
494,18,0,1,36.01,2,4,3,2,4,2,2,4,4,1,4,4,3,4,4,2
495,19,1,2,18.76,4,1,3,2,3,1,3,4,2,5,4,5,1,4,1,1
496,24,0,5,31.2,3,4,4,4,3,3,3,4,4,3,4,5,3,4,3,2
497,18,1,1,22.26,4,4,5,5,2,2,2,4,4,4,5,4,1,4,2,2
498,19,0,1,45.88,2,3,2,1,5,2,5,4,1,2,4,3,4,4,5,4
499,18,1,2,17.83,3,5,1,2,2,3,2,2,3,2,4,2,4,4,4,4
500,20,0,1,55.94,2,4,3,1,4,2,4,3,2,2,3,4,4,4,3,3
501,19,1,2,20.66,4,4,4,3,3,2,2,4,4,4,4,4,3,5,2,3
502,18,0,2,37.74,4,4,3,3,4,5,5,2,3,2,4,2,2,5,4,5
503,19,1,2,19.52,4,3,3,4,2,5,2,3,4,4,2,5,2,3,5,2
504,19,0,1,30.64,4,3,4,1,3,4,5,4,4,5,4,5,2,4,2,3
505,19,1,1,27.22,2,5,3,4,3,2,4,4,4,1,4,5,2,5,3,1
506,18,0,1,46.33,2,4,3,2,4,4,4,5,1,2,4,4,4,4,2,4
507,19,1,1,32.53,3,5,5,1,5,5,1,5,1,1,5,5,1,5,1,1
509,19,1,1,27.1,3,4,4,4,4,1,3,4,2,2,2,2,3,4,5,4
510,20,0,1,30.55,2,3,2,3,3,4,4,3,2,4,2,2,4,4,4,4
511,19,1,1,32.66,5,5,3,1,4,1,5,2,3,1,4,3,3,5,3,5
512,18,0,2,32.69,2,4,1,4,4,4,4,2,4,3,2,3,2,2,4,4
513,19,1,1,31.4,5,3,3,2,1,3,4,4,3,3,4,5,3,4,1,3
514,18,0,3,59.53,1,2,3,1,4,3,4,4,4,4,4,2,4,3,4,3
515,18,1,1,22.01,2,5,4,5,1,2,5,4,3,1,1,4,2,5,5,5
516,20,0,7,34.94,2,3,3,2,2,3,4,4,3,4,4,4,4,4,4,3
517,21,1,3,27.05,2,5,4,5,1,3,4,5,2,1,4,5,4,5,3,3
518,19,0,2,34.68,4,2,4,1,2,4,4,2,2,5,5,4,1,4,4,4
519,18,1,1,15.14,4,5,4,3,3,1,3,4,1,1,4,2,3,5,2,4
520,18,0,1,41.21,1,4,1,3,4,3,5,4,2,2,2,2,2,4,4,2
521,18,1,2,19.17,2,5,2,5,3,2,5,5,2,2,4,5,4,4,2,1
522,19,0,1,46.31,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2
523,18,1,2,23.27,4,4,4,5,4,5,2,5,4,4,4,4,2,4,2,1
524,21,0,6,41.5,3,3,3,3,3,5,5,3,2,3,5,3,5,4,2,5
526,21,0,1,21.75,5,4,2,3,4,3,4,1,2,1,2,3,3,2,4,5
527,19,1,1,24.55,4,4,4,2,2,2,2,4,4,2,4,4,2,4,2,2
528,20,0,1,35.78,2,5,5,2,3,2,5,4,2,4,5,4,4,4,2,3
529,18,1,1,21.16,3,5,4,4,4,1,4,4,3,2,4,5,4,5,2,2
530,18,0,1,41.6,2,4,2,2,4,1,4,4,2,5,4,4,3,5,4,1
532,18,0,1,46.68,3,3,4,2,4,4,3,3,2,4,4,4,2,4,2,2
533,20,1,7,22.96,3,3,4,3,2,3,3,3,4,3,3,4,3,3,3,3
534,22,0,7,35.1,3,4,4,4,4,3,3,3,3,3,3,4,2,4,4,4
535,21,1,8,35.83,1,2,5,4,4,2,3,5,4,1,5,5,4,5,1,1
536,19,0,1,42.73,3,2,3,2,2,4,4,3,2,4,4,4,2,3,2,3
537,18,1,1,25.32,4,4,2,2,3,2,4,4,3,1,3,4,3,4,4,4
538,19,0,1,35,2,4,4,1,3,2,4,5,2,4,4,4,2,3,4,2
539,18,1,1,31.11,1,5,2,3,5,2,4,1,1,1,4,4,2,5,2,4
541,19,1,1,26.24,2,4,5,4,1,3,2,4,4,5,5,5,2,5,1,1
543,19,1,1,23.01,1,5,5,4,1,5,4,5,1,1,4,5,3,5,3,4
544,24,0,1,46.85,1,4,4,2,3,2,2,4,1,4,2,4,2,5,2,1
545,19,1,1,24.83,3,5,5,1,3,4,4,5,2,1,5,5,5,2,1,5
546,18,0,1,48.63,2,4,2,3,4,4,4,4,2,2,3,4,4,4,4,3
547,18,1,1,26.44,3,5,2,4,3,2,5,3,4,1,1,4,4,4,5,4
548,18,0,1,39.89,2,4,2,2,3,2,4,3,3,4,3,4,4,4,3,3
549,18,1,1,18.82,4,5,4,4,2,1,2,4,2,2,4,5,1,4,1,1
550,18,0,7,38.83,3,3,3,3,3,3,2,4,3,3,3,2,2,2,3,3
551,19,1,3,27.69,3,2,2,2,4,4,4,4,2,3,3,4,4,3,2,2
552,18,0,1,27.9,3,4,2,4,3,2,2,4,3,4,2,3,2,4,5,2
553,19,1,1,23.58,4,4,4,2,4,2,3,4,3,2,4,5,1,4,2,3
554,19,0,3,57.76,3,1,1,3,1,1,3,4,4,4,3,2,3,2,1,1
555,19,1,3,29.74,5,3,1,4,1,1,5,5,1,2,2,5,1,5,4,1
556,19,0,2,36.11,4,4,3,2,4,3,4,3,2,4,3,4,4,3,4,4
557,20,1,1,11.23,4,4,4,4,2,2,4,4,4,2,4,4,4,5,3,2
558,20,0,6,41.88,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
559,19,1,2,23.23,4,4,4,2,2,3,4,4,3,2,4,4,2,4,2,2
560,18,0,2,40.73,5,4,1,2,5,3,5,5,2,1,5,5,2,3,4,2
561,20,1,5,19.49,3,5,3,5,5,1,4,5,3,1,3,3,5,5,4,5
