p_id,age,female,ethnicity,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10,e_dep_1,e_dep_2,e_dep_3,e_dep_4,e_dep_5,e_dep_6,e_dep_7,e_dep_8,e_dep_9,e_dep_10,e_fear_1,e_fear_2,e_fear_3,e_fear_4,e_fear_5,e_fear_6,e_fear_7,e_fear_8,e_fear_9,e_fear_10,e_sen_1,e_sen_2,e_sen_3,e_sen_4,e_sen_5,e_sen_6,e_sen_7,e_sen_8,e_sen_9,e_sen_10
342,20,1,5,24,20,5,2,5,1,1,2,7,1,6,5,1,1,1,1,1,1,7,1,6,7,1,1,7,1,1,4,7,7,7,7,6,1,1,6,1,5,6,1,7,7
315,19,1,1,33,22,5,2,5,5,4,6,5,3,5,3,4,2,4,3,4,1,7,4,6,7,1,2,5,2,1,3,2,3,4,7,6,6,5,6,6,1,1,1,1,3
380,19,1,1,34,28,7,7,7,7,6,1,5,1,3,2,7,5,5,3,5,6,6,1,6,7,1,6,7,5,1,7,5,6,6,7,7,6,5,7,7,2,2,1,1,2
351,21,1,2,28,15,2,3,3,5,2,3,6,4,3,5,2,4,2,1,3,1,4,5,3,4,1,2,4,3,1,6,5,5,5,6,5,3,1,1,5,7,7,2,4,4
344,18,1,1,30,36,7,5,4,7,4,2,2,3,5,4,6,5,5,3,1,6,6,6,6,6,6,6,5,5,2,6,4,7,4,7,6,6,6,5,6,2,1,1,2,2
371,20,1,2,36,26,6,5,7,5,2,4,4,5,6,3,5,4,4,2,2,5,5,6,2,4,7,3,3,5,2,4,6,7,1,7,7,6,7,5,6,1,1,2,1,2
336,18,1,1,30,12,6,6,6,5,5,3,6,3,4,2,5,5,5,4,5,5,4,6,6,6,4,5,5,6,2,3,2,2,2,5,7,6,5,6,6,2,2,3,1,2
329,19,1,1,33,13,2,1,2,1,1,3,6,5,7,5,1,1,1,1,1,1,1,1,2,6,1,1,4,1,1,5,7,5,3,7,6,1,5,4,4,3,5,1,5,5
317,19,1,1,27,15,5,1,5,5,3,2,5,2,3,2,3,6,6,5,2,1,3,3,2,5,2,2,3,5,2,6,5,5,5,6,6,5,6,5,2,3,5,2,2,1
328,20,1,5,29,20,2,3,3,1,3,5,5,2,5,6,3,5,5,4,2,3,5,4,5,6,2,4,4,3,1,1,5,3,5,5,6,5,5,6,3,2,7,3,1,2
331,21,1,6,30,22,5,5,6,5,3,2,2,3,4,2,5,5,5,3,3,5,5,4,2,6,1,3,3,3,1,5,6,5,5,6,5,5,5,5,4,2,2,3,3,3
377,19,1,1,26,20,5,5,5,4,4,3,6,2,3,5,6,4,6,7,3,4,7,6,7,7,2,4,4,5,1,3,3,3,2,5,6,6,7,6,6,1,1,1,1,1
385,18,1,2,32,23,2,5,2,1,3,4,6,2,6,6,2,5,4,4,2,5,6,5,4,5,2,3,6,4,2,2,2,4,6,5,6,5,7,6,4,2,2,4,1,4
374,19,1,2,38,27,1,2,2,1,1,6,7,2,2,6,1,1,1,1,3,2,2,7,1,7,1,2,5,1,7,3,2,1,7,6,6,1,6,6,5,1,7,1,1,6
304,19,1,1,28,11,5,7,7,6,6,1,4,2,2,1,6,5,7,7,7,3,4,7,7,7,6,7,7,2,1,1,1,1,2,4,7,7,6,7,4,1,1,1,1,1
356,19,1,3,28,19,6,7,6,4,5,2,2,2,2,2,6,4,7,3,3,4,5,6,5,6,5,2,2,3,7,1,4,1,2,2,4,4,4,3,4,3,3,3,4,3
372,19,1,2,40,32,6,2,3,3,1,2,2,2,3,2,5,6,5,3,2,2,5,4,5,6,2,2,2,2,6,3,4,2,6,6,5,4,4,5,4,3,2,3,2,7
320,19,1,1,22,14,5,5,4,5,2,4,5,2,4,6,5,3,1,3,5,1,6,4,5,5,2,3,4,4,1,5,4,4,4,6,7,7,7,7,5,1,3,4,1,1
333,20,1,1,34,14,4,6,4,1,2,2,3,3,3,2,6,5,5,3,4,4,7,6,4,7,3,3,5,4,3,1,4,4,4,6,5,6,4,6,7,2,6,3,3,2
382,20,1,5,22,13,6,7,4,6,6,3,3,3,3,2,5,6,5,6,4,5,6,6,7,6,5,5,7,6,2,6,4,3,4,6,7,2,7,6,4,2,1,4,1,2
311,19,1,2,25,8,5,4,3,6,3,3,6,4,3,3,5,2,4,4,7,5,6,5,6,5,5,5,4,4,7,4,3,5,3,5,5,7,5,5,4,2,6,2,2,3
343,18,1,8,31,20,6,6,5,6,3,3,4,2,6,2,5,5,5,5,2,4,5,3,3,5,2,3,6,3,3,2,4,2,6,3,5,5,6,6,5,1,1,2,2,2
350,22,1,1,25,15,4,3,3,2,2,4,4,4,6,7,5,5,2,6,3,4,6,5,6,4,1,6,7,6,1,7,4,5,4,7,7,7,7,5,7,1,2,1,1,1
355,18,1,8,30,18,5,5,3,5,1,3,5,4,5,1,2,1,2,3,2,3,3,2,2,7,1,3,5,1,1,5,4,6,3,6,4,3,2,4,3,7,5,3,5,4
361,19,1,1,30,23,7,6,6,3,7,1,2,5,5,3,4,3,6,7,4,2,3,6,6,7,1,6,5,6,6,1,3,3,4,5,5,3,4,5,4,2,5,5,2,5
384,19,1,1,28,13,6,3,1,4,3,4,7,6,4,3,3,2,5,4,3,3,4,3,7,6,5,6,7,2,1,4,1,2,1,3,4,3,7,6,3,1,3,3,4,3
